Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Yds,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl
Derrek Pitts,25,TAM,CB,4,0,0,2,1,25,0,95.8,8,10,15,0,0,0,0,0,0,2,1
Shaquille Quarterman,26,JAX,LB,17,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
Giovanni Ricci,27,CAR,TE,5,0,0,1,0,0,0,39.6,0,0,0,7,0,0,0,0,0,2,1
Josiah Scott,24,PHI,DB,4,0,0,6,6,25,0,84,1.5,9,16,1,0,0,0,0,0,2,0
Tanzel Smart,29,NYJ,DL,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2,1
Cam Smith,23,MIA,CB,15,0,0,3,3,24,0,100,3.3,10,14,1,0,0,0,0,0,2,0
Jaylon Smith,28,LVR,LB,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
Jordan Stout,25,BAL,P,17,0,0,1,0,0,0,39.6,-2,0,0,0,0,0,0,0,0,2,0
Charlie Thomas,23,CLE,LB,4,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,2,0
BJ Thompson,24,KAN,DE,1,0,0,1,1,1,0,79.2,-7,-7,8,5,0,0,0,0,0,2,2
Kendal Vickers,28,BUF,DE,2,0,0,0,0,0,0,,,0,0,0,1,0,0,0,1,2,1
Yasir Abdullah,23,JAX,LB,5,0,0,1,0,0,0,39.6,0,0,0,7,1,1,0,0,2,1,0
Alex Armah,29,WAS,RB,8,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1
Anthony Barr,31,MIN,LB,4,0,0,1,1,5,0,87.5,2,2,3,3,0,0,0,0,0,1,0
Ethan Bonner,24,MIA,CB,2,0,0,2,0,0,0,39.6,12,0,0,0,0,0,0,0,0,1,0
Austin Bryant,27,SFO,DL,2,0,0,0,0,0,0,,,0,0,0,1,0,0,0,1,1,0
Kalia Davis,25,SFO,DL,3,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,1,0
Austin Faoliu,24,SEA,NT,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1
Derrick Gore,29,WAS,RB,6,0,0,1,0,0,0,39.6,22,0,0,0,0,0,0,0,0,1,0
James Houston,25,DET,LB,2,1,0,1,1,31,0,118.7,23,23,8,0,0,1,0,0,1,1,0
Kerry Hyder,32,SFO,DE,4,0,0,0,0,0,0,,,0,0,0,2,0,0,1,3,1,0
Bruce Irvin,36,DET,LB,2,0,0,1,0,0,0,39.6,5,0,0,2,2,1,0,1,2,1,0
Craig James,27,NYJ,CB,2,0,0,3,1,6,0,42.4,6,5,1,0,0,0,0,0,0,1,0
Sidney Jones,27,CIN,CB,3,0,0,2,2,35,1,158.3,16,32,3,0,0,0,0,0,0,1,1
Khalid Kareem,25,CHI,DL,1,0,0,1,0,0,0,39.6,5,0,0,0,0,0,0,0,0,1,0
Cory Littleton,30,HOU,LB,9,0,0,1,1,10,0,108.3,-3,-3,13,0,0,0,0,0,0,1,1
Bobby McCain,30,NYG,S,10,0,0,2,1,12,1,108.3,16.5,12,0,0,0,0,0,0,0,1,1
Calvin Munson,29,NWE,LB,3,0,0,1,1,7,0,95.8,-1,-1,8,1,0,0,0,0,0,1,0
Payton Turner,24,NOR,DE,2,0,0,0,0,0,0,,,0,0,0,0,1,0,0,1,1,0
Jonathan Ward,26,TEN,RB,7,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1
Jaylin Williams,23,MIN,CB,3,0,0,3,3,28,0,105.6,3,9,19,0,0,0,0,0,0,1,2
Joejuan Williams,26,MIN,CB,2,0,0,4,1,1,0,39.6,16.3,1,0,0,0,0,0,0,0,1,0
Israel Abanikanda,21,NYJ,RB,6,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Andrew Adams,31,BAL,S,3,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1
Ekow Boye-Doe,24,KAN,CB,6,0,0,1,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Christian Braswell,24,JAX,CB,3,0,0,0,0,0,0,,,0,0,1,1,0,0,0,1,0,0
Aaron Brewer,26,TEN,C,17,17,0,0,0,0,0,,,0,0,3,0,0,0,0,0,0,0
